request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_43,13988750,affordable_with_plan,full_payment,2024-09-07:13988750,,none,Pay 13988750 today. This is the maximum safe amount given current balance and minimum requirements.
request_44,79390,affordable_with_plan,full_payment,2025-02-04:79390,,none,Pay 79390 today. This is the maximum safe amount given current balance and minimum requirements.
request_45,8833100,affordable_with_plan,full_payment,2026-07-06:8833100,,none,Pay 8833100 today. This is the maximum safe amount given current balance and minimum requirements.
request_46,49450,affordable_with_plan,installments,2024-12-03:25714|2024-12-31:25714,2024-12-03,none,"Use 2 installments of 25714, starting 2024-12-03."
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,Pay 38114000 today. This leaves at least 30049000 available over the next 90 days.
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Pay 45700 today. This leaves at least 71300 available over the next 90 days.
request_49,20228793.34,affordable_with_plan,installments,2024-03-04:20228793.34,,none,Pay 20228793.34 today. This is the maximum safe amount given current balance and minimum requirements.
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Pay 43900 today. This leaves at least 99700 available over the next 90 days.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Pay 2191000 today. This leaves at least 7811000 available over the next 90 days.
request_52,28870,affordable_now,full_payment,2024-06-05:28870,2024-06-05,none,Pay 28870 today. This leaves at least 41500 available over the next 90 days.
request_53,1423.42,affordable_with_plan,installments,2025-11-07:1423.42,,none,Pay 1423.42 today. This is the maximum safe amount given current balance and minimum requirements.
request_54,16581.4,affordable_with_plan,installments,2026-07-04:16581.4,,none,Pay 16581.4 today. This is the maximum safe amount given current balance and minimum requirements.
request_55,190041.19,affordable_with_plan,installments,2026-06-08:190041.19,,none,Pay 190041.19 today. This is the maximum safe amount given current balance and minimum requirements.
request_56,881.56,affordable_with_plan,installments,2025-02-03:458.42|2025-03-03:458.42,2025-02-03,none,"Use 2 installments of 458.42, starting 2025-02-03."
request_57,21214.6,affordable_with_plan,full_payment,2026-04-05:21214.6,,none,Pay 21214.6 today. This is the maximum safe amount given current balance and minimum requirements.
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,Pay 16226000 today. This leaves at least 14433900 available over the next 90 days.
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of 48741.33, starting 2025-05-07."
request_60,199.89,affordable_now,full_payment,2026-01-06:199.89,2026-01-06,none,Pay 199.89 today. This leaves at least 400 available over the next 90 days.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of 10074.83, starting 2024-03-17."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Pay 404.23 today. This leaves at least 1300 available over the next 90 days.
request_63,90145,affordable_with_plan,partial_payment,2026-07-07:90145,,none,Pay 90145 today. This is the maximum safe amount given current balance and minimum requirements.
request_64,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-08-16. None of the available options keeps the 36100 minimum protected.
request_65,13024,affordable_with_plan,partial_payment,2025-11-06:13024,,none,Pay 13024 today. This is the maximum safe amount given current balance and minimum requirements.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Pay 22200 today. This leaves at least 80700 available over the next 90 days.
request_67,792.54,affordable_with_plan,full_payment,2024-09-05:792.54,,none,Pay 792.54 today. This is the maximum safe amount given current balance and minimum requirements.
request_68,2091.6,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-02-07,none,"Use 3 installments of 725.09, starting 2025-02-14."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,Pay 529.1 today. This leaves at least 700 available over the next 90 days.
request_70,93360,affordable_with_plan,full_payment,2024-12-06:93360,,none,Pay 93360 today. This is the maximum safe amount given current balance and minimum requirements.
request_71,7485050,affordable_with_plan,full_payment,2025-05-03:7485050,,none,Pay 7485050 today. This is the maximum safe amount given current balance and minimum requirements.
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,Pay 11330 today. This leaves at least 12200 available over the next 90 days.
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Pay 71400 today. This leaves at least 103200 available over the next 90 days.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Pay 5010 today. This leaves at least 21900 available over the next 90 days.
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use 3 installments of 9800.27, starting 2026-04-09."
request_76,1538.8,affordable_with_plan,partial_payment,2024-06-03:1538.8,,none,Pay 1538.8 today. This is the maximum safe amount given current balance and minimum requirements.
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,Pay 60700 today. This leaves at least 82200 available over the next 90 days.
request_78,50200,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,Pay 50200 today. This leaves at least 55200 available over the next 90 days.
request_79,1104.08,affordable_with_plan,partial_payment,2024-09-04:1104.08,,none,Pay 1104.08 today. This is the maximum safe amount given current balance and minimum requirements.
request_80,152115,affordable_with_plan,installments,2025-02-06:152115,,none,Pay 152115 today. This is the maximum safe amount given current balance and minimum requirements.
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,Pay 2076 today. This leaves at least 1600 available over the next 90 days.
request_82,1011.4,affordable_with_plan,full_payment,2024-12-05:1011.4,,none,Pay 1011.4 today. This is the maximum safe amount given current balance and minimum requirements.
request_83,28330,affordable_with_plan,installments,2025-05-07:28330,,none,Pay 28330 today. This is the maximum safe amount given current balance and minimum requirements.
request_84,62645,affordable_with_plan,full_payment,2026-04-04:62645,,none,Pay 62645 today. This is the maximum safe amount given current balance and minimum requirements.
request_85,2422120,affordable_with_plan,installments,2024-03-06:2422120,,none,Pay 2422120 today. This is the maximum safe amount given current balance and minimum requirements.
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,Pay 46300 today. This leaves at least 84900 available over the next 90 days.
request_87,92850,affordable_with_plan,full_payment,2026-01-05:92850,,none,Pay 92850 today. This is the maximum safe amount given current balance and minimum requirements.
request_88,15557.89,affordable_with_plan,installments,2024-06-07:15557.89,,none,Pay 15557.89 today. This is the maximum safe amount given current balance and minimum requirements.
request_89,13756000,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-04,none,"Use 3 installments of 4768746.67, starting 2025-11-18."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Pay 2560 today. This leaves at least 7600 available over the next 90 days.
request_91,1927.2,affordable_now,full_payment,2024-09-03:1927.2,2024-09-03,none,Pay 1927.2 today. This leaves at least 2100 available over the next 90 days.
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,Pay 34034 today. This leaves at least 28100 available over the next 90 days.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,Pay 1729.2 today. This leaves at least 1900 available over the next 90 days.
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay 572 today. This leaves at least 600 available over the next 90 days.
request_95,137865,affordable_with_plan,partial_payment,2025-05-06:137865,,none,Pay 137865 today. This is the maximum safe amount given current balance and minimum requirements.
request_96,90200,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-03,none,"Use 3 installments of 31269.33, starting 2026-01-10."
request_97,8865.89,affordable_with_plan,installments,2024-03-05:8865.89,,none,Pay 8865.89 today. This is the maximum safe amount given current balance and minimum requirements.
request_98,17244.7,affordable_with_plan,full_payment,2025-08-07:17244.7,,none,Pay 17244.7 today. This is the maximum safe amount given current balance and minimum requirements.
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,Pay 18062 today. This leaves at least 49100 available over the next 90 days.
request_100,34836.13,affordable_with_plan,installments,2024-06-06:34836.13,,none,Pay 34836.13 today. This is the maximum safe amount given current balance and minimum requirements.
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Pay 143500 today. This leaves at least 187400 available over the next 90 days.
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of 594.88, starting 2026-04-05."
request_103,35759,affordable_with_plan,full_payment,2024-09-07:35759,,none,Pay 35759 today. This is the maximum safe amount given current balance and minimum requirements.
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,Pay 17204 today. This leaves at least 24700 available over the next 90 days.
request_105,53500,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,Pay 53500 today. This leaves at least 73900 available over the next 90 days.
request_106,1401.7,affordable_with_plan,full_payment,2024-12-03:1401.7,,none,Pay 1401.7 today. This is the maximum safe amount given current balance and minimum requirements.
request_107,2534.4,affordable_with_plan,installments,2025-05-08:878.59|2025-06-05:878.59|2025-07-03:878.59,2025-05-05,none,"Use 3 installments of 878.59, starting 2025-05-08."
request_108,7836.4,affordable_with_plan,full_payment,2026-07-07:7836.4,,none,Pay 7836.4 today. This is the maximum safe amount given current balance and minimum requirements.
request_109,1276.46,affordable_with_plan,installments,2024-03-04:1276.46,,none,Pay 1276.46 today. This is the maximum safe amount given current balance and minimum requirements.
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of 7748.69, starting 2025-08-06."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Pay 16625000 today. This leaves at least 23022800 available over the next 90 days.
request_112,271.7,affordable_now,full_payment,2024-06-05:271.7,2024-06-05,none,Pay 271.7 today. This leaves at least 500 available over the next 90 days.
request_113,36500,affordable_now,full_payment,2026-09-04:36500,2026-09-04,none,Pay 36500 today. This leaves at least 82300 available over the next 90 days.
request_114,65300,affordable_now,full_payment,2026-01-04:65300,2026-01-04,none,Pay 65300 today. This leaves at least 113400 available over the next 90 days.
request_115,27135,affordable_with_plan,full_payment,2024-09-06:27135,,none,Pay 27135 today. This is the maximum safe amount given current balance and minimum requirements.
request_116,58075,affordable_with_plan,installments,2025-02-03:58075,,none,Pay 58075 today. This is the maximum safe amount given current balance and minimum requirements.
request_117,880,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,Pay 880 today. This leaves at least 1000 available over the next 90 days.
request_118,738.1,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-07,none,"Use 3 installments of 255.87, starting 2024-12-07."
request_119,130901.01,affordable_with_plan,installments,2025-05-04:130901.01,,none,Pay 130901.01 today. This is the maximum safe amount given current balance and minimum requirements.
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Pay 7714000 today. This leaves at least 20050300 available over the next 90 days.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,Pay 633.6 today. This leaves at least 800 available over the next 90 days.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of 7126773.33, starting 2025-08-05."
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,Pay 4076000 today. This leaves at least 18091200 available over the next 90 days.
request_124,2109.56,affordable_with_plan,installments,2024-06-04:2109.56,,none,Pay 2109.56 today. This is the maximum safe amount given current balance and minimum requirements.
request_125,6468,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,Pay 6468 today. This leaves at least 11300 available over the next 90 days.
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,Pay 159600 today. This leaves at least 129700 available over the next 90 days.
request_127,23980,affordable_now,full_payment,2024-09-05:23980,2024-09-05,none,Pay 23980 today. This leaves at least 41000 available over the next 90 days.
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,Pay 25168 today. This leaves at least 42600 available over the next 90 days.
request_129,288,affordable_with_plan,installments,2026-04-04:288,,none,Pay 288 today. This is the maximum safe amount given current balance and minimum requirements.
request_130,917.46,affordable_with_plan,full_payment,2024-12-06:917.46,,none,Pay 917.46 today. This is the maximum safe amount given current balance and minimum requirements.
request_131,1855.2,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-05-03,none,"Use 3 installments of 643.14, starting 2025-05-06."
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,none,Pay 379.86 today. This leaves at least 1100 available over the next 90 days.
request_133,15770000,affordable_with_plan,partial_payment,2024-03-07:15770000,2024-03-07,none,Pay 15770000 today. This is the maximum safe amount given current balance and minimum requirements.
request_134,12118200,affordable_with_plan,full_payment,2025-08-04:12118200,,none,Pay 12118200 today. This is the maximum safe amount given current balance and minimum requirements.
request_135,304.8,affordable_now,full_payment,2026-07-06:304.8,2026-07-06,none,Pay 304.8 today. This leaves at least 500 available over the next 90 days.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.4,2024-06-03,none,Pay 560.4 today. This leaves at least 1100 available over the next 90 days.
request_137,67960,affordable_with_plan,full_payment,2025-11-05:67960,,none,Pay 67960 today. This is the maximum safe amount given current balance and minimum requirements.
request_138,1209.9,affordable_with_plan,installments,2026-04-07:1209.9,2026-04-07,stop:event_12644|stop:event_12650|stop:event_12656,"After stop:event_12644|stop:event_12650|stop:event_12656, pay 1256.94 today. This leaves at least 2300 available over the next 90 days."
request_139,2267.84,affordable_with_plan,installments,2024-09-04:2267.84,2024-09-04,stop:event_12713|stop:event_12720|stop:event_12727,"After stop:event_12713|stop:event_12720|stop:event_12727, pay 2316 today. This leaves at least 1500 available over the next 90 days."
request_140,11074.8,affordable_with_plan,installments,2025-02-06:11074.8,,none,Pay 11074.8 today. This is the maximum safe amount given current balance and minimum requirements.
request_141,51435,affordable_with_plan,partial_payment,2026-01-03:51435,,none,Pay 51435 today. This is the maximum safe amount given current balance and minimum requirements.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,Pay 1263.6 today. This leaves at least 1700 available over the next 90 days.
request_143,8384.2,affordable_with_plan,full_payment,2025-05-07:8384.2,,none,Pay 8384.2 today. This is the maximum safe amount given current balance and minimum requirements.
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay 233.34 today. This leaves at least 600 available over the next 90 days.
request_145,105613.66,affordable_with_plan,installments,2024-03-06:105613.66,,none,Pay 105613.66 today. This is the maximum safe amount given current balance and minimum requirements.
request_146,81465,affordable_with_plan,full_payment,2025-08-03:81465,,none,Pay 81465 today. This is the maximum safe amount given current balance and minimum requirements.
request_147,741.53,affordable_with_plan,installments,2026-04-05:741.53,,none,Pay 741.53 today. This is the maximum safe amount given current balance and minimum requirements.
request_148,13181.08,affordable_with_plan,installments,2024-06-07:13181.08,,none,Pay 13181.08 today. This is the maximum safe amount given current balance and minimum requirements.
request_149,36652,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-04,none,"Use 3 installments of 12706.03, starting 2025-11-18."
request_150,496.1,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-01-06,none,"Use 3 installments of 171.98, starting 2026-01-06."
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,Pay 26999000 today. This leaves at least 31633600 available over the next 90 days.
request_152,13882,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-02-05,none,"Use 3 installments of 4812.43, starting 2025-02-12."
request_153,503.6,affordable_with_plan,full_payment,2026-07-07:503.6,,none,Pay 503.6 today. This is the maximum safe amount given current balance and minimum requirements.
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of 563.61, starting 2024-12-04."
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,Pay 112500 today. This leaves at least 56300 available over the next 90 days.
request_156,13588.3,affordable_with_plan,full_payment,2026-04-03:13588.3,,none,Pay 13588.3 today. This is the maximum safe amount given current balance and minimum requirements.
request_157,10091850,affordable_with_plan,full_payment,2024-03-05:10091850,,none,Pay 10091850 today. This is the maximum safe amount given current balance and minimum requirements.
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of 84101.33, starting 2025-08-07."
request_159,13398,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,Pay 13398 today. This leaves at least 8700 available over the next 90 days.
request_160,857.61,affordable_with_plan,installments,2024-06-06:857.61,,none,Pay 857.61 today. This is the maximum safe amount given current balance and minimum requirements.
request_161,17241550,affordable_with_plan,full_payment,2025-11-03:17241550,,none,Pay 17241550 today. This is the maximum safe amount given current balance and minimum requirements.
request_162,8601300,affordable_with_plan,full_payment,2026-07-05:8601300,,none,Pay 8601300 today. This is the maximum safe amount given current balance and minimum requirements.
request_163,19304000,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-09-07,none,"Use 3 installments of 6692053.33, starting 2024-09-10."
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of 9366240, starting 2025-02-11."
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,Pay 80600 today. This leaves at least 95000 available over the next 90 days.
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of 1007.97, starting 2024-12-03."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,Pay 43802 today. This leaves at least 31200 available over the next 90 days.
request_168,49380,affordable_with_plan,partial_payment,2026-01-07:49380,2026-01-07,none,Pay 49380 today. This is the maximum safe amount given current balance and minimum requirements.
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,Pay 41976 today. This leaves at least 18700 available over the next 90 days.
request_170,36936000,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-08-06,none,"Use 3 installments of 12804480, starting 2025-08-06."
request_171,310.65,affordable_with_plan,installments,2026-07-03:310.65,,none,Pay 310.65 today. This is the maximum safe amount given current balance and minimum requirements.
request_172,10200,affordable_with_plan,installments,2024-06-05:5304|2024-07-03:5304,2024-06-05,none,"Use 2 installments of 5304, starting 2024-06-05."
request_173,83190.53,affordable_with_plan,installments,2025-11-07:83190.53,,none,Pay 83190.53 today. This is the maximum safe amount given current balance and minimum requirements.
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of 397.35, starting 2026-04-04."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,Pay 2346.3 today. This leaves at least 1700 available over the next 90 days.
request_176,686.95,affordable_with_plan,full_payment,2025-02-03:686.95,,none,Pay 686.95 today. This is the maximum safe amount given current balance and minimum requirements.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.6,2026-01-05,none,Pay 1017.6 today. This leaves at least 1300 available over the next 90 days.
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of 1018.54, starting 2024-12-07."
request_179,37957250,affordable_with_plan,full_payment,2025-05-04:37957250,,none,Pay 37957250 today. This is the maximum safe amount given current balance and minimum requirements.
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,Pay 66500 today. This leaves at least 37300 available over the next 90 days.
request_181,1270,affordable_with_plan,full_payment,2024-03-03:1270,,none,Pay 1270 today. This is the maximum safe amount given current balance and minimum requirements.
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,Pay 65714 today. This leaves at least 31100 available over the next 90 days.
request_183,26866000,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-04-07,none,"Use 3 installments of 9313546.67, starting 2026-04-10."
request_184,52360,affordable_with_plan,installments,2024-06-04:52360,,none,Pay 52360 today. This is the maximum safe amount given current balance and minimum requirements.
request_185,783.4,affordable_with_plan,full_payment,2025-11-06:783.4,,none,Pay 783.4 today. This is the maximum safe amount given current balance and minimum requirements.
request_186,22863.5,affordable_with_plan,full_payment,2026-01-03:22863.5,,none,Pay 22863.5 today. This is the maximum safe amount given current balance and minimum requirements.
request_187,67435,affordable_with_plan,full_payment,2024-09-05:67435,,none,Pay 67435 today. This is the maximum safe amount given current balance and minimum requirements.
request_188,585.3,affordable_with_plan,full_payment,2025-02-07:585.3,,none,Pay 585.3 today. This is the maximum safe amount given current balance and minimum requirements.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,Pay 488.4 today. This leaves at least 400 available over the next 90 days.
request_190,1555.8,affordable_with_plan,full_payment,2024-12-06:1555.8,,none,Pay 1555.8 today. This is the maximum safe amount given current balance and minimum requirements.
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,Pay 664.4 today. This leaves at least 500 available over the next 90 days.
request_192,384.8,affordable_with_plan,full_payment,2026-04-05:384.8,,none,Pay 384.8 today. This is the maximum safe amount given current balance and minimum requirements.
request_193,310.62,affordable_with_plan,installments,2024-03-07:310.62,,none,Pay 310.62 today. This is the maximum safe amount given current balance and minimum requirements.
request_194,95030,affordable_with_plan,full_payment,2025-08-04:95030,,none,Pay 95030 today. This is the maximum safe amount given current balance and minimum requirements.
request_195,1170.4,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-01-06,none,"Use 3 installments of 405.74, starting 2026-01-09."
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,Pay 762.3 today. This leaves at least 500 available over the next 90 days.
request_197,50939000,affordable_with_plan,installments,2025-11-19:17658853.33|2025-12-17:17658853.33|2026-01-14:17658853.33,2025-11-05,none,"Use 3 installments of 17658853.33, starting 2025-11-19."
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,Pay 185800 today. This leaves at least 124300 available over the next 90 days.
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Use 3 installments of 8206986.67, starting 2024-09-07."
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,Pay 21717000 today. This leaves at least 20114600 available over the next 90 days.
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,Pay 23997000 today. This leaves at least 17304500 available over the next 90 days.
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,Pay 123900 today. This leaves at least 147800 available over the next 90 days.
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Use 3 installments of 499.93, starting 2025-05-10."
request_204,588.74,affordable_now,full_payment,2026-01-04:588.74,2026-01-04,none,Pay 588.74 today. This leaves at least 1300 available over the next 90 days.
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,Pay 10621000 today. This leaves at least 13994300 available over the next 90 days.
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Use 3 installments of 486.96, starting 2025-08-03."
request_207,11830,affordable_now,full_payment,2026-07-05:11830,2026-07-05,none,Pay 11830 today. This leaves at least 13600 available over the next 90 days.
request_208,4413000,affordable_now,full_payment,2024-06-07:4413000,2024-06-07,none,Pay 4413000 today. This leaves at least 10470700 available over the next 90 days.
request_209,8625.1,affordable_with_plan,partial_payment,2025-11-04:8625.1,,none,Pay 8625.1 today. This is the maximum safe amount given current balance and minimum requirements.
request_210,1360.02,affordable_with_plan,installments,2026-04-06:471.48|2026-05-04:471.48|2026-06-01:471.48,2026-04-06,none,"Use 3 installments of 471.48, starting 2026-04-06."
request_211,1227.89,affordable_with_plan,full_payment,2024-09-03:1227.89,,none,Pay 1227.89 today. This is the maximum safe amount given current balance and minimum requirements.
request_212,22344000,affordable_with_plan,full_payment,2025-02-05:22344000,,none,Pay 22344000 today. This is the maximum safe amount given current balance and minimum requirements.
request_213,3362.4,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,"Use 3 installments of 1165.63, starting 2026-01-21."
request_214,69750,affordable_with_plan,installments,2024-12-04:36270|2025-01-01:36270,2024-12-04,none,"Use 2 installments of 36270, starting 2024-12-04."
request_215,29986,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"Use 3 installments of 10395.15, starting 2025-05-09."
